Item_English,hierarchy_level,Q5,Q4,Q3,Q2,Q1,Total
Hot peppers,1,1.8,2.1,1.6,1.8,1.2,1.7
Radishes,1,1.7,1.5,1.1,1.1,,1.2
Squash,1,9.3,5.5,7.2,6.9,9.3,7.6
Corn cobs,1,3.3,2.5,2.0,,,1.9
Fresh mushrooms,1,12.5,12.4,7.1,7.3,3.9,8.6
Pumpkin,1,3.8,3.0,2.8,2.6,1.8,2.8
Kohlrabi,1,2.2,1.7,1.3,1.5,0.8,1.5
"Broccoli, fava beans, okra, and other vegetables",2,6.7,6.8,5.0,5.7,5.1,5.9
"Seasoning greens, incl. root and leafy vegetables(14)",2,6.1,6.5,7.1,8.2,8.2,7.2
Parsley,1,5.1,5.6,4.0,4.3,3.5,4.5
Coriander,1,4.0,4.4,3.3,3.4,2.4,3.5
Sprouts,1,1.6,,,,,0.8
Cut vegetables for salad,1,5.3,3.9,4.3,1.5,1.6,3.3
Mint,1,1.2,1.6,0.9,1.3,0.9,1.2
Dill,1,1.9,1.3,1.3,1.5,0.8,1.4
"Celery, including root",2,4.3,3.1,2.2,2.4,1.3,2.7
"Spinach, Swiss chard, and beet leaves",2,3.4,2.0,1.5,2.2,1.6,2.1
"Fruit, fresh",2,232.7,199.4,186.7,198.1,188.7,201.1
Thereof:,1,,,,,,
Oranges,1,6.0,6.6,8.1,7.3,7.5,7.1
Tangerines and mandarins,1,6.0,5.2,4.6,6.1,4.0,5.2
"(SPECIFIED COMMODITIES) OF HOUSEHOLDS,",2,,,,,,
BY QUINTILE OF NET INCOME,1,,,,,,
PER STANDARD PERSON (Cont.),1,,,,,,
"Fruit, fresh (cont.)",2,,,,,,
Lemons,1,7.6,6.2,5.9,6.3,7.1,6.6
Avocados,1,16.2,11.3,10.3,9.4,7.6,11.0
Watermelons,1,11.3,7.8,8.8,9.3,13.9,10.2
Pears,1,6.4,4.8,4.2,4.6,3.8,4.8
"Peaches, nectarines",2,12.1,9.3,7.3,6.4,6.6,8.4
Bananas,1,16.2,16.4,13.5,15.9,12.6,14.9
Sugar melons,1,4.8,3.0,2.5,3.0,2.8,3.2
Apricots,1,1.8,1.9,1.6,2.6,,1.9
Grapes,1,22.8,16.6,12.9,14.7,11.9,15.8
Pomegranate,1,2.1,,,,,1.6
Plums,1,2.6,3.3,2.2,,1.4,2.3
Strawberries,1,17.2,13.3,9.9,11.0,7.3,11.7
Apples,1,22.4,19.7,16.1,20.5,15.3,18.8
Persimmons,1,4.0,2.4,2.0,2.1,1.8,2.4
Mangos,1,3.6,3.5,2.8,,,2.9
Other fresh fruits,1,12.8,8.9,4.9,3.9,4.0,6.9
Kiwi,1,3.6,1.6,,2.0,3.0,2.3
Pomelo,1,2.2,2.1,,,,1.3
Cherries,1,3.2,,,,,2.0
"Vegetables, frozen",2,25.7,20.2,20.4,16.7,21.3,20.8
Potato products – frozen,1,4.0,5.7,4.5,4.8,6.4,5.1
Frozen vegetables – mixed,1,2.8,,1.8,,,2.4
Frozen vegetables – single,1,18.9,12.7,14.1,10.3,10.6,13.3
"Vegetables, pickled and canned",2,61.7,62.6,59.4,55.7,61.5,60.2
Thereof:,1,,,,,,
Canned beans and corn,1,3.4,3.6,5.0,4.4,6.1,4.5
Canned mushrooms,1,,1.1,,1.3,1.5,1.1
Other canned vegetables(15),1,1.6,2.0,1.8,1.5,2.0,1.8
Pickled cucumbers,1,5.3,6.2,5.7,5.4,7.3,6.0
Olives,1,10.5,7.9,7.2,5.8,6.4,7.6
Other pickled vegetables,1,1.1,,,,,1.2
Tomato puree(15),1,10.9,13.8,12.3,11.3,9.6,11.6
Humus salad,1,9.7,9.4,8.5,9.8,13.5,10.2
Eggplant salad,1,3.2,3.4,2.4,2.8,1.4,2.6
Other prepared salads,1,6.9,6.7,6.1,5.2,3.0,5.6
"Fruit, preserved and frozen",2,3.6,4.1,4.2,3.7,4.5,4.0
"Fruit, dried",2,73.6,62.1,51.2,61.3,46.0,58.8
Thereof:,1,,,,,,
Dates,1,5.2,6.6,4.6,6.7,4.1,5.5
Raisins,1,1.5,,,,,1.0
Other dried fruit,1,4.2,,,,,2.8
Roasted seeds,1,4.6,7.0,4.3,8.3,5.4,5.9
Nuts,1,18.4,16.2,10.7,10.7,6.8,12.6
Almonds,1,11.4,7.2,4.6,4.0,3.4,6.1
Peanuts,1,2.8,3.0,1.8,,,2.0
Pistachio,1,4.1,2.8,,,,2.3
Cranberries,1,3.1,,,,,1.9
Other mixed nuts n.e.c.,1,13.1,10.4,14.5,20.0,15.7,14.7
"Fruit juices, natural",2,16.2,12.7,17.2,13.1,17.8,15.4
Housing,0,6369.0,4947.7,4174.1,3535.7,2782.6,4362.1
Government taxes,1,80.6,,,,,40.1
Monthly rent,1,1269.2,1089.4,1346.1,1312.5,1284.2,1260.3
Thereof:,1,,,,,,
For rented dwelling or room,1,1183.7,1067.2,1323.7,1255.8,1246.0,1215.3
"(SPECIFIED COMMODITIES) OF HOUSEHOLDS,",2,,,,,,
BY QUINTILE OF NET INCOME,1,,,,,,
PER STANDARD PERSON (Cont.),1,,,,,,
Consumption of housing services,1,4714.0,3640.7,2720.3,2122.5,1458.6,2931.5
For owned dwelling,0,4498.0,3485.7,2592.6,1974.2,1272.4,2764.9
For key money dwelling or free housing,2,215.9,155.0,127.7,148.3,186.2,166.6
Other housing expenditures,0,305.1,157.9,76.5,73.8,37.9,130.3
Thereof:,1,,,,,,
"Payment to lawyer / real estate agent for buying, selling",2,136.6,62.4,,48.7,27.8,59.8
Insurance on dwelling and contents,1,153.6,92.8,50.1,22.1,8.8,65.5
Dwelling and household maintenance,1,2379.0,1814.6,1571.3,1305.0,1140.0,1642.1
Water,1,166.6,149.4,138.3,134.7,146.4,147.1
"Electricity, gas and fuel for dwelling",2,487.5,481.6,476.7,435.7,423.9,461.1
"Electricity, current consumption",0,438.9,424.8,410.9,364.6,374.2,402.7
Gas in containers,1,9.7,14.0,15.9,20.1,19.1,15.8
"Gas, central installation",2,34.4,36.1,35.5,31.0,24.9,32.4
Heating expenses (incl. kerosene),1,,,,,,10.3
Maintenance and renovation,1,414.6,279.2,210.5,192.5,136.2,246.7
Thereof:,1,,,,,,
"Payment for painter, handyman",2,,33.1,30.3,21.5,,39.5
Payment for plumber,1,14.6,11.1,9.3,8.9,,12.6
Payment for electrician,1,8.4,19.2,,,,10.7
Payments for other maintenance(16),1,48.8,15.6,17.9,6.0,,19.9
Building committee fees,1,201.9,146.7,115.0,94.9,48.2,121.4
Tools and materials for dwelling maintenance(17),1,58.8,53.5,32.3,49.9,17.1,42.3
Domestic help,1,541.4,255.7,203.9,69.2,29.9,220.1
Thereof:,1,,,,,,
Domestic help and cook,1,339.7,130.2,96.5,38.7,18.4,124.8
Nursing caregiver at home,1,169.2,,,,,79.3
Miscellaneous household articles,0,131.7,112.0,118.3,140.0,142.8,129.0
Thereof:,1,,,,,,
Laundry detergent,1,14.5,14.7,21.2,24.1,29.5,20.8
Other laundry products,1,14.6,17.4,17.0,17.3,15.7,16.4
Disinfectants and house cleaning materials(18),1,37.4,28.7,30.6,49.7,48.4,38.9
Dishwashing materials,1,13.5,13.4,11.0,13.1,10.7,12.3
Other cleaning materials,1,,4.1,,3.5,2.9,4.0
Deodorizers and air fresheners,1,,,,4.0,3.4,3.7
Candles,1,,2.4,4.5,3.4,6.5,4.3
Dust cloths and floor mops,1,6.6,4.3,3.7,3.7,3.3,4.3
Various household articles(19),1,6.9,4.1,1.9,,3.4,3.8
Disposable bags,1,0.9,1.5,1.1,1.7,1.2,1.3
Multi-use bags,1,1.2,,0.6,,,0.8
Baking paper,1,3.0,1.9,,1.5,1.3,1.8
Sandwich bags,1,2.3,,1.9,1.6,1.3,1.6
Aluminium foil,1,,,1.5,,,2.1
Garbage bags,1,6.2,5.6,4.1,4.2,5.3,5.1
Cleaning gloves,1,,3.2,,,,2.6
Municipal property taxes,1,637.3,536.6,423.5,333.0,260.8,438.2
Municipal  property taxes,1,593.9,489.1,395.9,318.7,250.5,409.6
Municipal taxes(20),1,37.4,42.1,22.8,9.6,5.4,23.4
Guarding fee,1,6.0,5.4,4.8,4.7,4.9,5.2
Furniture and household equipment,1,894.1,753.8,540.7,550.9,560.4,660.0
Furniture,0,324.0,279.0,174.5,168.7,222.0,233.7
Thereof:,1,,,,,,
Living room furniture,0,143.6,124.1,66.7,63.1,85.2,96.5
Bedroom furniture,0,106.5,112.5,67.2,81.8,65.7,86.8
Baby room furniture and equipment,1,13.2,10.8,,17.9,25.5,16.3
Kitchen and dining room furniture(21),1,18.3,24.8,,,38.2,23.2
Household electrical equipment,1,313.0,254.4,190.7,207.7,169.5,227.1
Thereof:,1,,,,,,
Refrigerator and deep freezer,1,48.2,44.3,,34.5,,33.1
Electric kettle,1,1.8,1.8,1.2,2.0,2.4,1.8
"Stove, microwave, and ventilation hood(22)",2,30.1,32.0,22.8,26.4,20.6,26.4
Other electric kitchen appliances(23),1,51.0,44.7,36.6,29.4,33.7,39.1
"Iron, vacuum cleaner, dryer, and washing machine",2,52.3,41.8,44.6,46.1,25.2,42.0
Bulbs,1,,,,,,5.3
"(SPECIFIED COMMODITIES) OF HOUSEHOLDS,",2,,,,,,
BY QUINTILE OF NET INCOME,1,,,,,,
PER STANDARD PERSON (Cont.),1,,,,,,
Household electrical equipment (cont.),1,,,,,,
"Lamps, chandeliers, and lamp shades",2,,11.0,5.1,,,7.8
Service and repairs of home electrical equipment,2,3.9,,,,4.2,4.4
Home electrical equipment insurance,1,4.3,,,,,2.4
Water purifier maintenance,1,29.3,29.7,26.2,18.0,8.3,22.3
"Air conditioning system, air conditioner, and fan",2,,,,23.1,,35.5
Portable heater (including for bathroom),1,,,,,3.8,2.7
Non-electrical equipment,1,98.4,96.4,86.3,99.8,97.8,95.7
Thereof:,1,,,,,,
Brooms and brushes,1,,,,,2.3,2.2
"Disposable plates, cups, and cutlery",2,25.0,31.6,33.9,37.1,42.9,34.1
Cooking and baking utensils,1,,,,,,9.4
"Trays, serving dishes, and storage containers",2,8.5,12.9,,10.0,9.8,10.0
Other kitchen utensils(24),1,15.0,6.6,7.9,,,9.6
Bedding and towels,1,52.3,43.9,34.4,38.3,27.5,39.3
Thereof:,1,,,,,,
"Quilts, blankets, pillows, and cushions",2,4.8,7.6,5.8,4.3,5.9,5.7
Sheets,1,15.4,13.3,15.9,10.5,7.9,12.6
Bath towels,1,3.6,3.9,2.8,2.6,,3.2
Home decorations,1,106.4,80.1,54.8,36.4,43.6,64.2
Thereof:,1,,,,,,
"Pictures, mirrors, and other decorations",2,,,6.8,5.4,5.9,10.8
Carpets,1,15.4,9.5,,10.6,9.4,10.4
Curtains,1,,,,,,6.3
"Napkins (cloth and paper), disposable tablecloths",2,12.9,11.8,10.8,8.8,8.7,10.6
Flowers and plants,1,45.7,,21.4,,,24.7
Clothing and footwear,0,690.4,552.3,541.4,572.4,539.3,579.2
Thereof:,1,,,,,,
Men's outerwear,1,169.9,119.5,121.5,117.2,114.1,128.4
Thereof:,1,,,,,,
Men's suit and overcoat,1,,13.8,,20.6,23.6,22.8
Trousers,1,48.8,41.7,41.5,38.0,33.8,40.8
Sweater or sleeveless pullover,1,,,,,,4.1
Shirt,1,64.9,49.1,50.3,44.7,41.6,50.1
Men's track suit,1,,,,,7.8,6.8
Women's outerwear,1,230.1,159.6,165.5,160.3,143.6,171.8
Thereof:,1,,,,,,
Women's suit and overcoat,1,13.7,17.5,13.6,18.2,10.1,14.6
Dress,1,,39.0,47.3,51.8,54.2,54.6
Slacks,1,51.3,36.9,34.1,25.8,24.2,34.5
Skirt,1,,,5.4,5.2,4.8,4.3
"Sweater, sleeveless pullover",2,10.2,5.4,,4.5,,5.8
Blouse,1,62.1,49.4,47.7,46.1,36.2,48.3
Women's track suit,1,,,,,6.4,5.5
Children's and babies' outerwear,1,41.7,70.7,84.0,96.9,106.5,80.0
Thereof:,1,,,,,,
Children's suit and coat,1,,,,,14.0,6.6
Children's pants,1,9.3,16.6,22.6,22.3,24.4,19.0
"Blouse, shirt",2,13.3,18.6,23.6,28.1,23.4,21.4
Children's track suit,1,,,8.7,,9.1,7.2
Dress and skirt,1,,,,10.8,16.6,8.4
Baby clothes,1,,,,,,8.3
"(SPECIFIED COMMODITIES) OF HOUSEHOLDS,",2,,,,,,
BY QUINTILE OF NET INCOME,1,,,,,,
PER STANDARD PERSON (Cont.),1,,,,,,
"Underwear, sleepwear, and socks",2,38.5,29.5,33.5,47.2,28.5,35.4
Thereof:,1,,,,,,
Men's underwear,1,,,,,,3.2
Women's underwear and nightdress,1,,,,17.6,,12.7
Women's socks and hosiery,1,,,,,,3.8
Miscellaneous clothing articles,0,,,,10.0,8.0,14.4
Thereof:,1,,,,,,
"Hats, hoods, scarves, and kerchiefs",2,,,,,5.3,4.2
"Sewing, fabrics, and accessories",2,,,,,,4.0
Cleaning and laundry outside home,1,,,,,,3.3
Footwear,0,168.0,148.1,122.3,124.3,130.1,138.5
Thereof:,1,,,,,,
Men's sport shoes,1,36.9,35.0,27.2,22.3,29.0,30.1
Men's shoes,1,33.7,19.8,17.8,,13.6,21.4
Women's sport shoes,1,22.0,24.7,21.2,12.1,13.3,18.7
Women's shoes,1,53.6,46.2,27.3,36.8,26.9,38.1
Children's sport shoes,1,13.5,15.6,18.6,21.6,30.6,20.0
Children's shoes,1,6.6,6.4,10.0,8.9,16.2,9.6
Health(25),0,1747.6,1341.9,1090.2,849.6,634.7,1132.9
Health insurance,0,733.0,567.5,411.1,295.3,186.7,438.8
Health funds complementary insurance,1,364.5,316.9,254.1,210.9,145.6,258.4
Health insurance in insurance company,1,293.9,203.8,135.6,74.7,36.7,149.0
Long-term care insurance,1,63.7,36.7,14.7,,,25.1
Other health insurance,0,10.9,10.2,6.8,2.5,,6.4
Dental treatment,1,360.4,277.9,280.8,197.1,160.2,255.3
Dental treatment,1,215.1,201.1,215.2,127.1,109.0,173.5
Other dental expenditures(26),0,,64.7,56.5,65.4,50.7,73.0
Dental insurance,1,17.9,12.0,9.1,4.6,,8.8
Expenditures on health services,1,298.9,210.2,125.4,82.3,75.3,158.4
Thereof:,1,,,,,,
Fees for private physician or specialist at health funds,2,43.9,33.0,18.8,15.2,15.1,25.2
Lab tests and x-rays,1,,,,,,5.5
Alternative medicine,1,49.8,35.0,25.1,,,29.0
"Private nurse, ambulance, and emergency room",2,,,,3.5,,3.7
Psychological or psychiatric treatment,1,109.8,74.0,37.5,11.4,,49.3
Treatments for child development,1,,,,,,12.8
