segment_type,segment_value,segment_order,item_name,expenditure_value,is_income_metric,is_consumption_metric
Country of Birth,325,325,"Vegetables, pickled and canned ",53.0,False,False
Country of Birth,325,325,"Wallets, bags, suitcases, and baby products",41.0,False,False
Country of Birth,325,325,Water,127.0,False,False
Country of Birth,325,325,Women's outerwear,148.0,False,False
Country of Birth,371,371,Alcoholic beverages,127.0,False,False
Country of Birth,371,371,Average age of economic head of household,44.1,False,False
Country of Birth,371,371,Average earners in household,1.44,False,False
Country of Birth,371,371,Average persons in household,2.98,False,False
Country of Birth,371,371,Average standard persons in household,2.54,False,False
Country of Birth,371,371,Average years of schooling of economic head of  household,14.3,False,False
Country of Birth,371,371,Bedding and towels,41.0,False,False
Country of Birth,371,371,"Bread, cereals, and pastry products",385.0,False,False
Country of Birth,371,371,Children's and babies' outerwear,57.0,False,False
Country of Birth,371,371,Clothing and footwear,532.0,False,False
Country of Birth,371,371,Compulsory payments – total,2498.0,False,False
Country of Birth,371,371,Consumption expenditures – total,15850.0,False,False
Country of Birth,371,371,Consumption of housing services ,1563.0,False,False
Country of Birth,371,371,Dental treatment,106.0,False,False
Country of Birth,371,371,Dwelling and household maintenance,1265.0,False,False
Country of Birth,371,371,Education services,853.0,False,False
Country of Birth,371,371,"Education, culture, and entertainment",1732.0,False,False
Country of Birth,371,371,"Electricity, gas and fuel for dwelling",339.0,False,False
Country of Birth,371,371,Entertainment durable goods  ,124.0,False,False
Country of Birth,371,371,Expenditures on vehicles  ,1718.0,False,False
Country of Birth,371,371,Fish,151.0,False,False
Country of Birth,371,371,Food (excl. vegetables and fruit),2465.0,False,False
Country of Birth,371,371,Footwear,148.0,False,False
Country of Birth,371,371,From National Insurance Institute,1469.0,False,False
Country of Birth,371,371,From allowances and assistance,2942.0,False,False
Country of Birth,371,371,From other institutions in Israel,613.0,False,False
Country of Birth,371,371,From self-employment and occasional work,1804.0,False,False
Country of Birth,371,371,From wages and salary,12069.0,False,False
Country of Birth,371,371,From work,13874.0,False,False
Country of Birth,371,371,"Fruit juices, natural ",18.0,False,False
Country of Birth,371,371,"Fruit, dried",43.0,False,False
Country of Birth,371,371,"Fruit, fresh",201.0,False,False
Country of Birth,371,371,Furniture,142.0,False,False
Country of Birth,371,371,Furniture and household equipment,520.0,False,False
Country of Birth,371,371,Gross money income – total,17553.0,False,False
Country of Birth,371,371,Health,720.0,False,False
Country of Birth,371,371,Health insurance,290.0,False,False
Country of Birth,371,371,"Hobbies, sports and camping equipment",225.0,False,False
Country of Birth,371,371,Home decorations,51.0,False,False
Country of Birth,371,371,Household electrical equipment,192.0,False,False
Country of Birth,371,371,Households in population (thousands),204.1,False,False
Country of Birth,371,371,Housing,4146.0,False,False
Country of Birth,371,371,Income tax,1378.0,False,False
Country of Birth,371,371,Jewellery and watches,85.0,False,False
Country of Birth,371,371,Legal and other services,77.0,False,False
Country of Birth,371,371,Maintenance and renovation,210.0,False,False
Country of Birth,371,371,Meals away from home,483.0,False,False
Country of Birth,371,371,Meat and poultry,459.0,False,False
Country of Birth,371,371,Median of gross money income per household,13841.0,False,False
Country of Birth,371,371,Men's outerwear,130.0,False,False
Country of Birth,371,371,"Milk, milk products, and eggs",334.0,False,False
Country of Birth,371,371,Miscellaneous food products,308.0,False,False
Country of Birth,371,371,Miscellaneous goods and services,860.0,False,False
Country of Birth,371,371,Miscellaneous household articles,97.0,False,False
Country of Birth,371,371,Money expenditure per household,14204.0,False,True
Country of Birth,371,371,Money expenditure per person,4761.6,False,False
Country of Birth,371,371,Monthly rent,2427.0,False,False
Country of Birth,371,371,Municipal property taxes (Arnona),341.0,False,False
Country of Birth,371,371,National health insurance,569.0,False,False
Country of Birth,371,371,National insurance payments,552.0,False,False
Country of Birth,371,371,Net money income per household,15055.0,True,False
Country of Birth,371,371,Net money income per person,5046.8,False,False
Country of Birth,371,371,Non-electrical equipment,94.0,False,False
Country of Birth,371,371,Other expenditures ,71.0,False,False
Country of Birth,371,371,Other expenditures on health,223.0,False,False
Country of Birth,371,371,Other housing expenditures ,102.0,False,False
Country of Birth,371,371,Personal articles and cosmetics ,108.0,False,False
Country of Birth,371,371,"Postal services, telephone, and communications  ",295.0,False,False
Country of Birth,371,371,Potatoes and sweet potatoes,23.0,False,False
Country of Birth,371,371,Public transport,84.0,False,False
Country of Birth,371,371,Recreation and excursions ,109.0,False,False
Country of Birth,371,371,Soft drinks,87.0,False,False
Country of Birth,371,371,Sugar and sugar products,92.0,False,False
Country of Birth,371,371,Transfers to other households(2),185.0,False,False
Country of Birth,371,371,Transport and communications,3075.0,False,False
Country of Birth,371,371,Travel abroad,907.0,False,False
Country of Birth,371,371,"Underwear, sleepwear, and socks",29.0,False,False
Country of Birth,371,371,Vegetable oils and products,39.0,False,False
Country of Birth,371,371,Vegetables and fruit,534.0,False,False
Country of Birth,371,371,"Vegetables, fresh",173.0,False,False
Country of Birth,371,371,"Vegetables, frozen",19.0,False,False
Country of Birth,371,371,"Vegetables, pickled and canned ",52.0,False,False
Country of Birth,371,371,"Wallets, bags, suitcases, and baby products",49.0,False,False
Country of Birth,371,371,Water,113.0,False,False
Country of Birth,371,371,Women's outerwear,138.0,False,False
Country of Birth,603,603,Alcoholic beverages,90.0,False,False
Country of Birth,603,603,Average age of economic head of household,54.6,False,False
Country of Birth,603,603,Average earners in household,1.27,False,False
Country of Birth,603,603,Average persons in household,2.65,False,False
Country of Birth,603,603,Average standard persons in household,2.34,False,False
Country of Birth,603,603,Average years of schooling of economic head of  household,14.9,False,False
Country of Birth,603,603,Bedding and towels,31.0,False,False
Country of Birth,603,603,"Bread, cereals, and pastry products",304.0,False,False
Country of Birth,603,603,Children's and babies' outerwear,52.0,False,False
Country of Birth,603,603,"Cigarettes, tobacco, and accessories",89.0,False,False
Country of Birth,603,603,Clothing and footwear,468.0,False,False
Country of Birth,603,603,Compulsory payments – total,3641.0,False,False
Country of Birth,603,603,"Computer, internet and their products ",25.0,False,False
Country of Birth,603,603,Consumption expenditures – total,14644.0,False,False
Country of Birth,603,603,Consumption of housing services ,2355.0,False,False
Country of Birth,603,603,"Culture, sports, and entertainment  ",283.0,False,False
Country of Birth,603,603,Dental treatment,209.0,False,False
Country of Birth,603,603,Domestic help,220.0,False,False
Country of Birth,603,603,Dwelling and household maintenance,1299.0,False,False
Country of Birth,603,603,Education services,737.0,False,False
Country of Birth,603,603,"Education, culture, and entertainment",1487.0,False,False
Country of Birth,603,603,"Electricity, gas and fuel for dwelling",343.0,False,False
Country of Birth,603,603,Entertainment durable goods  ,139.0,False,False
Country of Birth,603,603,Expenditures on health services,129.0,False,False
Country of Birth,603,603,Expenditures on vehicles  ,1653.0,False,False
Country of Birth,603,603,Fish,144.0,False,False
Country of Birth,603,603,Food (excl. vegetables and fruit),2172.0,False,False
Country of Birth,603,603,Footwear,116.0,False,False
Country of Birth,603,603,From National Insurance Institute,2388.0,False,False
Country of Birth,603,603,From allowances and assistance,2863.0,False,False
Country of Birth,603,603,From households and other ,175.0,False,False
Country of Birth,603,603,From other institutions in Israel,300.0,False,False
Country of Birth,603,603,From pensions and social insurance funds,554.0,False,False
Country of Birth,603,603,From self-employment and occasional work,1979.0,False,False
Country of Birth,603,603,From wages and salary,14632.0,False,False
Country of Birth,603,603,From work,16611.0,False,False
Country of Birth,603,603,"Fruit juices, natural ",13.0,False,False
Country of Birth,603,603,"Fruit, dried",52.0,False,False
Country of Birth,603,603,"Fruit, fresh",199.0,False,False
Country of Birth,603,603,"Fruit, preserved and frozen",6.0,False,False
Country of Birth,603,603,Furniture,145.0,False,False
Country of Birth,603,603,Furniture and household equipment,526.0,False,False
Country of Birth,603,603,Gross money income – total,20446.0,False,False
Country of Birth,603,603,Health,1017.0,False,False
Country of Birth,603,603,Health insurance,383.0,False,False
Country of Birth,603,603,"Hobbies, sports and camping equipment",143.0,False,False
Country of Birth,603,603,Home decorations,61.0,False,False
Country of Birth,603,603,Household electrical equipment,224.0,False,False
Country of Birth,603,603,Households in population (thousands),315.3,False,False
Country of Birth,603,603,Housing,3861.0,False,False
Country of Birth,603,603,Income tax,2309.0,False,False
Country of Birth,603,603,Jewellery and watches,67.0,False,False
Country of Birth,603,603,Maintenance and renovation,211.0,False,False
Country of Birth,603,603,Meals away from home,340.0,False,False
Country of Birth,603,603,Meat and poultry,403.0,False,False
Country of Birth,603,603,Median of gross money income per household,14175.0,False,False
Country of Birth,603,603,Men's outerwear,101.0,False,False
Country of Birth,603,603,"Milk, milk products, and eggs",388.0,False,False
Country of Birth,603,603,Miscellaneous food products,325.0,False,False
Country of Birth,603,603,Miscellaneous goods and services,619.0,False,False
Country of Birth,603,603,Miscellaneous household articles,82.0,False,False
Country of Birth,603,603,Money expenditure per household,12102.0,False,True
Country of Birth,603,603,Money expenditure per person,4572.1,False,False
Country of Birth,603,603,Monthly rent,1377.0,False,False
Country of Birth,603,603,Mortgage payments (principal+interest)(3),1008.0,False,False
Country of Birth,603,603,Municipal property taxes (Arnona),334.0,False,False
Country of Birth,603,603,National health insurance,643.0,False,False
Country of Birth,603,603,National insurance payments,690.0,False,False
Country of Birth,603,603,Net money income per household,16804.0,True,False
Country of Birth,603,603,Net money income per person,6348.4,False,False
Country of Birth,603,603,"Newspapers, books, and stationery  ",20.0,False,False
Country of Birth,603,603,Non-electrical equipment,65.0,False,False
Country of Birth,603,603,Organization dues and donations,59.0,False,False
Country of Birth,603,603,Other expenditures ,46.0,False,False
Country of Birth,603,603,Other expenditures on health,295.0,False,False
Country of Birth,603,603,Other housing expenditures ,93.0,False,False
Country of Birth,603,603,Personal articles and cosmetics ,131.0,False,False
Country of Birth,603,603,Personal services and cosmetics ,76.0,False,False
Country of Birth,603,603,"Postal services, telephone, and communications  ",276.0,False,False
Country of Birth,603,603,Potatoes and sweet potatoes,26.0,False,False
Country of Birth,603,603,Public transport,55.0,False,False
Country of Birth,603,603,Recreation and excursions ,141.0,False,False
Country of Birth,603,603,Soft drinks,59.0,False,False
Country of Birth,603,603,Sugar and sugar products,82.0,False,False
Country of Birth,603,603,Transport and communications,2663.0,False,False
Country of Birth,603,603,Travel abroad,632.0,False,False
Country of Birth,603,603,"Underwear, sleepwear, and socks",34.0,False,False
Country of Birth,603,603,Vegetable oils and products,38.0,False,False
Country of Birth,603,603,Vegetables and fruit,533.0,False,False
Country of Birth,603,603,"Vegetables, fresh",172.0,False,False
Country of Birth,603,603,"Vegetables, frozen",15.0,False,False
Country of Birth,603,603,"Vegetables, pickled and canned ",51.0,False,False
Country of Birth,603,603,"Wallets, bags, suitcases, and baby products",34.0,False,False
Country of Birth,603,603,Water,108.0,False,False
Country of Birth,603,603,Women's outerwear,137.0,False,False
Country of Birth,649,649,Alcoholic beverages,112.0,False,False
Country of Birth,649,649,Average age of economic head of household,53.6,False,False
Country of Birth,649,649,Average earners in household,1.28,False,False
Country of Birth,649,649,Average persons in household,2.54,False,False
Country of Birth,649,649,Average standard persons in household,2.28,False,False
Country of Birth,649,649,Average years of schooling of economic head of  household,14.9,False,False
Country of Birth,649,649,Bedding and towels,32.0,False,False
Country of Birth,649,649,"Bread, cereals, and pastry products",300.0,False,False
Country of Birth,649,649,Children's and babies' outerwear,44.0,False,False
Country of Birth,649,649,"Cigarettes, tobacco, and accessories",112.0,False,False
Country of Birth,649,649,Clothing and footwear,441.0,False,False
Country of Birth,649,649,Compulsory payments – total,3343.0,False,False
Country of Birth,649,649,"Computer, internet and their products ",25.0,False,False
Country of Birth,649,649,Consumption expenditures – total,14427.0,False,False
Country of Birth,649,649,Consumption of housing services ,2002.0,False,False
Country of Birth,649,649,Dental treatment,195.0,False,False
Country of Birth,649,649,Domestic help,202.0,False,False
Country of Birth,649,649,Dwelling and household maintenance,1222.0,False,False
Country of Birth,649,649,Education services,685.0,False,False
Country of Birth,649,649,"Education, culture, and entertainment",1340.0,False,False
Country of Birth,649,649,"Electricity, gas and fuel for dwelling",317.0,False,False
Country of Birth,649,649,Entertainment durable goods  ,149.0,False,False
Country of Birth,649,649,Expenditures on health services,120.0,False,False
Country of Birth,649,649,Expenditures on vehicles  ,1799.0,False,False
Country of Birth,649,649,Fish,152.0,False,False
Country of Birth,649,649,Food (excl. vegetables and fruit),2218.0,False,False
Country of Birth,649,649,Footwear,122.0,False,False
Country of Birth,649,649,From National Insurance Institute,2381.0,False,False
Country of Birth,649,649,From allowances and assistance,2972.0,False,False
Country of Birth,649,649,From households and other ,177.0,False,False
Country of Birth,649,649,From other institutions in Israel,414.0,False,False
Country of Birth,649,649,From pensions and social insurance funds,464.0,False,False
Country of Birth,649,649,From self-employment and occasional work,1888.0,False,False
Country of Birth,649,649,From wages and salary,13941.0,False,False
Country of Birth,649,649,From work,15830.0,False,False
Country of Birth,649,649,"Fruit juices, natural ",11.0,False,False
Country of Birth,649,649,"Fruit, dried",46.0,False,False
Country of Birth,649,649,"Fruit, fresh",188.0,False,False
Country of Birth,649,649,"Fruit, preserved and frozen",4.0,False,False
Country of Birth,649,649,Furniture,155.0,False,False
Country of Birth,649,649,Furniture and household equipment,522.0,False,False
Country of Birth,649,649,Gross money income – total,19602.0,False,False
Country of Birth,649,649,Health,965.0,False,False
Country of Birth,649,649,Health insurance,352.0,False,False
Country of Birth,649,649,"Hobbies, sports and camping equipment",173.0,False,False
Country of Birth,649,649,Home decorations,64.0,False,False
Country of Birth,649,649,Household electrical equipment,213.0,False,False
Country of Birth,649,649,Households in population (thousands),346.2,False,False
Country of Birth,649,649,Housing,3652.0,False,False
Country of Birth,649,649,Income tax,2072.0,False,False
Country of Birth,649,649,Jewellery and watches,70.0,False,False
Country of Birth,649,649,Legal and other services,90.0,False,False
Country of Birth,649,649,Maintenance and renovation,213.0,False,False
Country of Birth,649,649,Meals away from home,355.0,False,False
Country of Birth,649,649,Meat and poultry,426.0,False,False
Country of Birth,649,649,Median of gross money income per household,13755.0,False,False
Country of Birth,649,649,Men's outerwear,84.0,False,False
Country of Birth,649,649,"Milk, milk products, and eggs",399.0,False,False
Country of Birth,649,649,Miscellaneous food products,293.0,False,False
Country of Birth,649,649,Miscellaneous goods and services,593.0,False,False
Country of Birth,649,649,Miscellaneous household articles,79.0,False,False
Country of Birth,649,649,Money expenditure per household,12263.0,False,True
Country of Birth,649,649,Money expenditure per person,4829.8,False,False
Country of Birth,649,649,Monthly rent,1506.0,False,False
Country of Birth,649,649,Mortgage payments (principal+interest)(3),1174.0,False,False
Country of Birth,649,649,Municipal property taxes (Arnona),310.0,False,False
Country of Birth,649,649,National health insurance,617.0,False,False
Country of Birth,649,649,National insurance payments,654.0,False,False
Country of Birth,649,649,Net money income per household,16259.0,True,False
Country of Birth,649,649,Net money income per person,6403.7,False,False
Country of Birth,649,649,Non-electrical equipment,58.0,False,False
Country of Birth,649,649,Organization dues and donations,36.0,False,False
Country of Birth,649,649,Other expenditures ,47.0,False,False
Country of Birth,649,649,Other expenditures on health,297.0,False,False
Country of Birth,649,649,Other housing expenditures ,110.0,False,False
Country of Birth,649,649,Personal articles and cosmetics ,124.0,False,False
Country of Birth,649,649,Personal services and cosmetics ,83.0,False,False
Country of Birth,649,649,"Postal services, telephone, and communications  ",295.0,False,False
Country of Birth,649,649,Potatoes and sweet potatoes,24.0,False,False
Country of Birth,649,649,Public transport,65.0,False,False
Country of Birth,649,649,Recreation and excursions ,120.0,False,False
Country of Birth,649,649,Soft drinks,68.0,False,False
Country of Birth,649,649,Sugar and sugar products,78.0,False,False
Country of Birth,649,649,Transport and communications,2966.0,False,False
Country of Birth,649,649,Travel abroad,760.0,False,False
Country of Birth,649,649,"Underwear, sleepwear, and socks",23.0,False,False
Country of Birth,649,649,Vegetable oils and products,35.0,False,False
Country of Birth,649,649,Vegetables and fruit,508.0,False,False
Country of Birth,649,649,"Vegetables, fresh",170.0,False,False
Country of Birth,649,649,"Vegetables, frozen",13.0,False,False
Country of Birth,649,649,"Vegetables, pickled and canned ",51.0,False,False
Country of Birth,649,649,"Wallets, bags, suitcases, and baby products",39.0,False,False
Country of Birth,649,649,Water,102.0,False,False
Country of Birth,649,649,Women's outerwear,132.0,False,False
Country of Birth,974,974,Alcoholic beverages,104.0,False,False
Country of Birth,974,974,Average age of economic head of household,50.5,False,False
Country of Birth,974,974,Average earners in household,1.34,False,False
Country of Birth,974,974,Average persons in household,2.78,False,False
Country of Birth,974,974,Average standard persons in household,2.42,False,False
Country of Birth,974,974,Average years of schooling of economic head of  household,14.7,False,False
Country of Birth,974,974,Bedding and towels,35.0,False,False
Country of Birth,974,974,"Bread, cereals, and pastry products",336.0,False,False
Country of Birth,974,974,Children's and babies' outerwear,54.0,False,False
Country of Birth,974,974,"Cigarettes, tobacco, and accessories",86.0,False,False
Country of Birth,974,974,Clothing and footwear,493.0,False,False
Country of Birth,974,974,Compulsory payments – total,3192.0,False,False
Country of Birth,974,974,"Computer, internet and their products ",39.0,False,False
Country of Birth,974,974,Consumption expenditures – total,15118.0,False,False
Country of Birth,974,974,Consumption of housing services ,2044.0,False,False
Country of Birth,974,974,"Culture, sports, and entertainment  ",304.0,False,False
Country of Birth,974,974,Dental treatment,169.0,False,False
Country of Birth,974,974,Domestic help,198.0,False,False
Country of Birth,974,974,Dwelling and household maintenance,1286.0,False,False
Country of Birth,974,974,Education services,783.0,False,False
Country of Birth,974,974,"Education, culture, and entertainment",1584.0,False,False
Country of Birth,974,974,"Electricity, gas and fuel for dwelling",342.0,False,False
Country of Birth,974,974,Entertainment durable goods  ,133.0,False,False
Country of Birth,974,974,Expenditures on health services,118.0,False,False
Country of Birth,974,974,Expenditures on vehicles  ,1679.0,False,False
Country of Birth,974,974,Fish,147.0,False,False
Country of Birth,974,974,Food (excl. vegetables and fruit),2287.0,False,False
Country of Birth,974,974,Footwear,128.0,False,False
Country of Birth,974,974,From National Insurance Institute,2027.0,False,False
Country of Birth,974,974,From allowances and assistance,2894.0,False,False
Country of Birth,974,974,From households and other ,444.0,False,False
Country of Birth,974,974,From other institutions in Israel,423.0,False,False
Country of Birth,974,974,From pensions and social insurance funds,540.0,False,False
Country of Birth,974,974,From self-employment and occasional work,1910.0,False,False
Country of Birth,974,974,From wages and salary,13625.0,False,False
Country of Birth,974,974,From work,15535.0,False,False
Country of Birth,974,974,"Fruit juices, natural ",15.0,False,False
Country of Birth,974,974,"Fruit, dried",48.0,False,False
Country of Birth,974,974,"Fruit, fresh",200.0,False,False
Country of Birth,974,974,"Fruit, preserved and frozen",5.0,False,False
Country of Birth,974,974,Furniture,144.0,False,False
Country of Birth,974,974,Furniture and household equipment,524.0,False,False
Country of Birth,974,974,Gross money income – total,19309.0,False,False
Country of Birth,974,974,Health,900.0,False,False
Country of Birth,974,974,Health insurance,347.0,False,False
Country of Birth,974,974,"Hobbies, sports and camping equipment",175.0,False,False
Country of Birth,974,974,Home decorations,57.0,False,False
Country of Birth,974,974,Household electrical equipment,211.0,False,False
Country of Birth,974,974,Households in population (thousands),519.4,False,False
Country of Birth,974,974,Housing,3973.0,False,False
Country of Birth,974,974,Income tax,1943.0,False,False
Country of Birth,974,974,Jewellery and watches,74.0,False,False
Country of Birth,974,974,Legal and other services,105.0,False,False
Country of Birth,974,974,Maintenance and renovation,211.0,False,False
Country of Birth,974,974,Meals away from home,396.0,False,False
Country of Birth,974,974,Meat and poultry,425.0,False,False
Country of Birth,974,974,Median of gross money income per household,14031.0,False,False
Country of Birth,974,974,Men's outerwear,112.0,False,False
Country of Birth,974,974,"Milk, milk products, and eggs",367.0,False,False
Country of Birth,974,974,Miscellaneous food products,318.0,False,False
Country of Birth,974,974,Miscellaneous goods and services,714.0,False,False
Country of Birth,974,974,Miscellaneous household articles,88.0,False,False
Country of Birth,974,974,Money expenditure per household,12929.0,False,True
Country of Birth,974,974,Money expenditure per person,4652.0,False,False
Country of Birth,974,974,Monthly rent,1790.0,False,False
Country of Birth,974,974,Mortgage payments (principal+interest)(3),1260.0,False,False
Country of Birth,974,974,Municipal property taxes (Arnona),337.0,False,False
Country of Birth,974,974,National health insurance,614.0,False,False
Country of Birth,974,974,National insurance payments,635.0,False,False
Country of Birth,974,974,Net money income per household,16117.0,True,False
Country of Birth,974,974,Net money income per person,5799.3,False,False
Country of Birth,974,974,"Newspapers, books, and stationery  ",21.0,False,False
Country of Birth,974,974,Non-electrical equipment,76.0,False,False
Country of Birth,974,974,Organization dues and donations,184.0,False,False
Country of Birth,974,974,Other expenditures ,56.0,False,False
Country of Birth,974,974,Other expenditures on health,267.0,False,False
Country of Birth,974,974,Other housing expenditures ,97.0,False,False
Country of Birth,974,974,Personal articles and cosmetics ,122.0,False,False
Country of Birth,974,974,Personal services and cosmetics ,68.0,False,False
Country of Birth,974,974,"Postal services, telephone, and communications  ",283.0,False,False
Country of Birth,974,974,Potatoes and sweet potatoes,24.0,False,False
Country of Birth,974,974,Public transport,66.0,False,False
Country of Birth,974,974,Recreation and excursions ,128.0,False,False
Country of Birth,974,974,Soft drinks,70.0,False,False
Country of Birth,974,974,Sugar and sugar products,86.0,False,False
Country of Birth,974,974,Transport and communications,2824.0,False,False
Country of Birth,974,974,Travel abroad,740.0,False,False
Country of Birth,974,974,"Underwear, sleepwear, and socks",32.0,False,False
Country of Birth,974,974,Vegetable oils and products,39.0,False,False
Country of Birth,974,974,Vegetables and fruit,533.0,False,False
Country of Birth,974,974,"Vegetables, fresh",172.0,False,False
Country of Birth,974,974,"Vegetables, frozen",17.0,False,False
Country of Birth,974,974,"Vegetables, pickled and canned ",52.0,False,False
Country of Birth,974,974,"Wallets, bags, suitcases, and baby products",40.0,False,False
Country of Birth,974,974,Water,110.0,False,False
Country of Birth,974,974,Women's outerwear,137.0,False,False
Geographic Region,117,117,Average age of economic head of household,49.6,False,False
Geographic Region,117,117,Average earners in household,1.5,False,False
Geographic Region,117,117,Average persons in household,2.98,False,False
Geographic Region,117,117,Average standard persons in household,2.54,False,False
Geographic Region,117,117,"Average years of schooling 
of economic head of  household",12.8,False,False
Geographic Region,117,117,Compulsory payments – total,2798.0,False,False
Geographic Region,117,117,From National Insurance Institute,2385.0,False,False
Geographic Region,117,117,From allowances and assistance,3101.0,False,False
Geographic Region,117,117,From capital,390.0,False,False
Geographic Region,117,117,From other institutions in Israel,392.0,False,False
Geographic Region,117,117,From pensions and provident funds,650.0,False,False
Geographic Region,117,117,From self-employment and occasional work,2509.0,False,False
Geographic Region,117,117,From wages and salary,13108.0,False,False
Geographic Region,117,117,From work,15617.0,False,False
Geographic Region,117,117,Gross money income – total,19757.0,False,False
Geographic Region,117,117,Households in population (thousands),137.8,False,False
Geographic Region,117,117,Income tax,1547.0,False,False
Geographic Region,117,117,Median of  gross money income per household,16591.0,False,False
Geographic Region,117,117,Money expenditure per household,14236.0,False,True
Geographic Region,117,117,Money expenditure per person,4783.5,False,False
Geographic Region,117,117,National health insurance,615.0,False,False
Geographic Region,117,117,National insurance payments,636.0,False,False
Geographic Region,117,117,Net money income per household,16960.0,True,False
Geographic Region,117,117,Net money income per person,5698.8,False,False
Geographic Region,117,117,Transfers to other households(2),264.0,False,False
Geographic Region,132,132,Average age of economic head of household,51.0,False,False
Geographic Region,132,132,Average earners in household,1.27,False,False
Geographic Region,132,132,Average persons in household,2.69,False,False
