segment_type,segment_value,item_name,expenditure_value,is_income_metric,is_consumption_metric
Income Quintile,2,Baking paper,1.5,False,False
Income Quintile,4,Baking paper,1.9,False,False
Income Quintile,5,Baking paper,3.0,False,False
Income Quintile,Total,Baking paper,1.8,False,False
Income Quintile,1,Bananas,12.6,False,False
Income Quintile,2,Bananas,15.9,False,False
Income Quintile,3,Bananas,13.5,False,False
Income Quintile,4,Bananas,16.4,False,False
Income Quintile,5,Bananas,16.2,False,False
Income Quintile,Total,Bananas,14.9,False,False
Income Quintile,1,Bath soap,9.7,False,False
Income Quintile,2,Bath soap,14.7,False,False
Income Quintile,3,Bath soap,13.7,False,False
Income Quintile,4,Bath soap,15.1,False,False
Income Quintile,5,Bath soap,18.3,False,False
Income Quintile,Total,Bath soap,14.3,False,False
Income Quintile,2,Bath towels,2.6,False,False
Income Quintile,3,Bath towels,2.8,False,False
Income Quintile,4,Bath towels,3.9,False,False
Income Quintile,5,Bath towels,3.6,False,False
Income Quintile,Total,Bath towels,3.2,False,False
Income Quintile,Total,Battery replacement(30),4.3,False,False
Income Quintile,1,"Beans, dried",1.7,False,False
Income Quintile,2,"Beans, dried",1.6,False,False
Income Quintile,3,"Beans, dried",1.6,False,False
Income Quintile,4,"Beans, dried",1.5,False,False
Income Quintile,5,"Beans, dried",1.9,False,False
Income Quintile,Total,"Beans, dried",1.7,False,False
Income Quintile,1,Bedding and towels,27.5,False,False
Income Quintile,2,Bedding and towels,38.3,False,False
Income Quintile,3,Bedding and towels,34.4,False,False
Income Quintile,4,Bedding and towels,43.9,False,False
Income Quintile,5,Bedding and towels,52.3,False,False
Income Quintile,Total,Bedding and towels,39.3,False,False
Income Quintile,1,Bedroom furniture,65.7,False,False
Income Quintile,2,Bedroom furniture,81.8,False,False
Income Quintile,3,Bedroom furniture,67.2,False,False
Income Quintile,4,Bedroom furniture,112.5,False,False
Income Quintile,5,Bedroom furniture,106.5,False,False
Income Quintile,Total,Bedroom furniture,86.8,False,False
Income Quintile,Total,Beef liver and internal parts,4.5,False,False
Income Quintile,1,Beef(6),165.1,False,False
Income Quintile,2,Beef(6),146.2,False,False
Income Quintile,3,Beef(6),140.8,False,False
Income Quintile,4,Beef(6),166.4,False,False
Income Quintile,5,Beef(6),130.3,False,False
Income Quintile,Total,Beef(6),149.7,False,False
Income Quintile,1,"Beef, minced(7)",51.5,False,False
Income Quintile,2,"Beef, minced(7)",38.6,False,False
Income Quintile,3,"Beef, minced(7)",54.4,False,False
Income Quintile,4,"Beef, minced(7)",34.3,False,False
Income Quintile,5,"Beef, minced(7)",33.4,False,False
Income Quintile,Total,"Beef, minced(7)",42.5,False,False
Income Quintile,1,Beer,5.0,False,False
Income Quintile,2,Beer,9.4,False,False
Income Quintile,3,Beer,10.5,False,False
Income Quintile,4,Beer,17.3,False,False
Income Quintile,5,Beer,16.8,False,False
Income Quintile,Total,Beer,11.8,False,False
Income Quintile,1,Beetroot,0.9,False,False
Income Quintile,2,Beetroot,2.6,False,False
Income Quintile,3,Beetroot,2.4,False,False
Income Quintile,4,Beetroot,2.8,False,False
Income Quintile,5,Beetroot,2.8,False,False
Income Quintile,Total,Beetroot,2.3,False,False
Income Quintile,Total,Bicycles,7.6,False,False
Income Quintile,1,Blouse,36.2,False,False
Income Quintile,2,Blouse,46.1,False,False
Income Quintile,3,Blouse,47.7,False,False
Income Quintile,4,Blouse,49.4,False,False
Income Quintile,5,Blouse,62.1,False,False
Income Quintile,Total,Blouse,48.3,False,False
Income Quintile,1,"Blouse, shirt",23.4,False,False
Income Quintile,2,"Blouse, shirt",28.1,False,False
Income Quintile,3,"Blouse, shirt",23.6,False,False
Income Quintile,4,"Blouse, shirt",18.6,False,False
Income Quintile,5,"Blouse, shirt",13.3,False,False
Income Quintile,Total,"Blouse, shirt",21.4,False,False
Income Quintile,Total,Bracelets(33),14.5,False,False
Income Quintile,3,"Brandy, liqueur, cognac, and other alcoholic beverages",13.7,False,False
Income Quintile,Total,"Brandy, liqueur, cognac, and other alcoholic beverages",15.3,False,False
Income Quintile,1,Bread crumbs,2.0,False,False
Income Quintile,2,Bread crumbs,2.8,False,False
Income Quintile,3,Bread crumbs,4.4,False,False
Income Quintile,4,Bread crumbs,4.5,False,False
Income Quintile,5,Bread crumbs,3.6,False,False
Income Quintile,Total,Bread crumbs,3.5,False,False
Income Quintile,1,"Bread, cereals, and pastry products",383.4,False,False
Income Quintile,2,"Bread, cereals, and pastry products",389.3,False,False
Income Quintile,3,"Bread, cereals, and pastry products",368.7,False,False
Income Quintile,4,"Bread, cereals, and pastry products",372.0,False,False
Income Quintile,5,"Bread, cereals, and pastry products",343.6,False,False
Income Quintile,Total,"Bread, cereals, and pastry products",371.4,False,False
Income Quintile,1,Breakfast cereals ,14.8,False,False
Income Quintile,2,Breakfast cereals ,18.8,False,False
Income Quintile,3,Breakfast cereals ,16.4,False,False
Income Quintile,4,Breakfast cereals ,18.8,False,False
Income Quintile,5,Breakfast cereals ,12.6,False,False
Income Quintile,Total,Breakfast cereals ,16.3,False,False
Income Quintile,1,Brined cheese,10.1,False,False
Income Quintile,2,Brined cheese,18.2,False,False
Income Quintile,3,Brined cheese,17.4,False,False
Income Quintile,4,Brined cheese,27.6,False,False
Income Quintile,5,Brined cheese,35.7,False,False
Income Quintile,Total,Brined cheese,21.8,False,False
Income Quintile,1,"Broccoli, fava beans, okra, and other vegetables",5.1,False,False
Income Quintile,2,"Broccoli, fava beans, okra, and other vegetables",5.7,False,False
Income Quintile,3,"Broccoli, fava beans, okra, and other vegetables",5.0,False,False
Income Quintile,4,"Broccoli, fava beans, okra, and other vegetables",6.8,False,False
Income Quintile,5,"Broccoli, fava beans, okra, and other vegetables",6.7,False,False
Income Quintile,Total,"Broccoli, fava beans, okra, and other vegetables",5.9,False,False
Income Quintile,1,Brooms and brushes,2.3,False,False
Income Quintile,Total,Brooms and brushes,2.2,False,False
Income Quintile,1,Building committee fees,48.2,False,False
Income Quintile,2,Building committee fees,94.9,False,False
Income Quintile,3,Building committee fees,115.0,False,False
Income Quintile,4,Building committee fees,146.7,False,False
Income Quintile,5,Building committee fees,201.9,False,False
Income Quintile,Total,Building committee fees,121.4,False,False
Income Quintile,Total,Bulbs,5.3,False,False
Income Quintile,1,Butter,6.1,False,False
Income Quintile,2,Butter,8.6,False,False
Income Quintile,3,Butter,10.0,False,False
Income Quintile,4,Butter,10.4,False,False
Income Quintile,5,Butter,13.7,False,False
Income Quintile,Total,Butter,9.8,False,False
Income Quintile,1,Buying a car ,395.9,False,False
Income Quintile,2,Buying a car ,538.6,False,False
Income Quintile,3,Buying a car ,678.0,False,False
Income Quintile,4,Buying a car ,987.2,False,False
Income Quintile,5,Buying a car ,1335.4,False,False
Income Quintile,Total,Buying a car ,787.1,False,False
Income Quintile,5,Buying a car and monthly payments for private leasing,63.8,False,False
Income Quintile,Total,Buying a car and monthly payments for private leasing,38.8,False,False
Income Quintile,1,Buying pets and expenses for their care,16.9,False,False
Income Quintile,3,Buying pets and expenses for their care,25.9,False,False
Income Quintile,4,Buying pets and expenses for their care,49.4,False,False
Income Quintile,5,Buying pets and expenses for their care,28.6,False,False
Income Quintile,Total,Buying pets and expenses for their care,30.5,False,False
Income Quintile,1,Cabbage,8.0,False,False
Income Quintile,2,Cabbage,7.1,False,False
Income Quintile,3,Cabbage,5.3,False,False
Income Quintile,4,Cabbage,6.0,False,False
Income Quintile,5,Cabbage,6.3,False,False
Income Quintile,Total,Cabbage,6.5,False,False
Income Quintile,1,Cakes,23.9,False,False
Income Quintile,2,Cakes,24.9,False,False
Income Quintile,3,Cakes,29.8,False,False
Income Quintile,4,Cakes,39.8,False,False
Income Quintile,5,Cakes,30.0,False,False
Income Quintile,Total,Cakes,29.7,False,False
Income Quintile,1,Candies ,9.1,False,False
Income Quintile,2,Candies ,9.7,False,False
Income Quintile,3,Candies ,10.8,False,False
Income Quintile,4,Candies ,10.2,False,False
Income Quintile,5,Candies ,9.0,False,False
Income Quintile,Total,Candies ,9.8,False,False
Income Quintile,1,Candles,6.5,False,False
Income Quintile,2,Candles,3.4,False,False
Income Quintile,3,Candles,4.5,False,False
Income Quintile,4,Candles,2.4,False,False
Income Quintile,Total,Candles,4.3,False,False
Income Quintile,1,Canned beans and corn ,6.1,False,False
Income Quintile,2,Canned beans and corn ,4.4,False,False
Income Quintile,3,Canned beans and corn ,5.0,False,False
Income Quintile,4,Canned beans and corn ,3.6,False,False
Income Quintile,5,Canned beans and corn ,3.4,False,False
Income Quintile,Total,Canned beans and corn ,4.5,False,False
Income Quintile,1,Canned mushrooms ,1.5,False,False
Income Quintile,2,Canned mushrooms ,1.3,False,False
Income Quintile,4,Canned mushrooms ,1.1,False,False
Income Quintile,Total,Canned mushrooms ,1.1,False,False
Income Quintile,1,Canola oil ,16.3,False,False
Income Quintile,2,Canola oil ,14.7,False,False
Income Quintile,3,Canola oil ,15.0,False,False
Income Quintile,4,Canola oil ,18.7,False,False
Income Quintile,5,Canola oil ,12.8,False,False
Income Quintile,Total,Canola oil ,15.5,False,False
Income Quintile,1,Car expenses for another household(30),13.5,False,False
Income Quintile,4,Car expenses for another household(30),8.7,False,False
Income Quintile,5,Car expenses for another household(30),13.9,False,False
Income Quintile,Total,Car expenses for another household(30),11.3,False,False
Income Quintile,1,Car registration,71.5,False,False
Income Quintile,2,Car registration,99.8,False,False
Income Quintile,3,Car registration,126.4,False,False
Income Quintile,4,Car registration,158.1,False,False
Income Quintile,5,Car registration,181.6,False,False
Income Quintile,Total,Car registration,127.5,False,False
Income Quintile,5,Car wash,6.5,False,False
Income Quintile,Total,Car wash,5.5,False,False
Income Quintile,1,Carpets,9.4,False,False
Income Quintile,2,Carpets,10.6,False,False
Income Quintile,4,Carpets,9.5,False,False
Income Quintile,5,Carpets,15.4,False,False
Income Quintile,Total,Carpets,10.4,False,False
Income Quintile,1,Carrots,6.3,False,False
Income Quintile,2,Carrots,5.1,False,False
Income Quintile,3,Carrots,5.3,False,False
Income Quintile,4,Carrots,4.8,False,False
Income Quintile,5,Carrots,6.4,False,False
Income Quintile,Total,Carrots,5.6,False,False
Income Quintile,1,Cauliflower,6.2,False,False
Income Quintile,2,Cauliflower,5.5,False,False
Income Quintile,3,Cauliflower,2.9,False,False
Income Quintile,4,Cauliflower,5.2,False,False
Income Quintile,5,Cauliflower,6.6,False,False
Income Quintile,Total,Cauliflower,5.3,False,False
Income Quintile,1,"Celebrations (halls, catering)",85.1,False,False
Income Quintile,2,"Celebrations (halls, catering)",104.9,False,False
Income Quintile,4,"Celebrations (halls, catering)",187.4,False,False
Income Quintile,5,"Celebrations (halls, catering)",171.7,False,False
Income Quintile,Total,"Celebrations (halls, catering)",136.1,False,False
Income Quintile,1,"Celery, including root ",1.3,False,False
Income Quintile,2,"Celery, including root ",2.4,False,False
Income Quintile,3,"Celery, including root ",2.2,False,False
Income Quintile,4,"Celery, including root ",3.1,False,False
Income Quintile,5,"Celery, including root ",4.3,False,False
Income Quintile,Total,"Celery, including root ",2.7,False,False
Income Quintile,2,Changing tires(30),10.5,False,False
Income Quintile,3,Changing tires(30),10.9,False,False
Income Quintile,4,Changing tires(30),11.5,False,False
Income Quintile,5,Changing tires(30),13.2,False,False
Income Quintile,Total,Changing tires(30),10.4,False,False
Income Quintile,1,Cheese or milk substitutes(13),4.1,False,False
Income Quintile,2,Cheese or milk substitutes(13),4.7,False,False
Income Quintile,3,Cheese or milk substitutes(13),11.2,False,False
Income Quintile,4,Cheese or milk substitutes(13),9.6,False,False
Income Quintile,5,Cheese or milk substitutes(13),13.0,False,False
Income Quintile,Total,Cheese or milk substitutes(13),8.5,False,False
Income Quintile,5,Cherries ,3.2,False,False
Income Quintile,Total,Cherries ,2.0,False,False
Income Quintile,1,Chewing gum,2.4,False,False
Income Quintile,2,Chewing gum,2.5,False,False
Income Quintile,3,Chewing gum,2.8,False,False
Income Quintile,4,Chewing gum,3.6,False,False
Income Quintile,5,Chewing gum,4.6,False,False
Income Quintile,Total,Chewing gum,3.2,False,False
Income Quintile,2,Chick-peas,2.4,False,False
Income Quintile,4,Chick-peas,2.3,False,False
Income Quintile,5,Chick-peas,1.3,False,False
Income Quintile,Total,Chick-peas,1.8,False,False
Income Quintile,1,Chicken and turkey breast,42.3,False,False
Income Quintile,2,Chicken and turkey breast,54.6,False,False
Income Quintile,3,Chicken and turkey breast,74.6,False,False
Income Quintile,4,Chicken and turkey breast,62.7,False,False
Income Quintile,5,Chicken and turkey breast,61.7,False,False
Income Quintile,Total,Chicken and turkey breast,59.2,False,False
Income Quintile,2,Chicken and turkey liver,3.1,False,False
Income Quintile,3,Chicken and turkey liver,3.3,False,False
Income Quintile,4,Chicken and turkey liver,3.6,False,False
Income Quintile,5,Chicken and turkey liver,2.8,False,False
Income Quintile,Total,Chicken and turkey liver,3.1,False,False
Income Quintile,4,Chicken and turkey – minced,7.5,False,False
Income Quintile,Total,Chicken and turkey – minced,4.0,False,False
Income Quintile,1,Chicken leg quarters,20.7,False,False
Income Quintile,2,Chicken leg quarters,37.0,False,False
Income Quintile,3,Chicken leg quarters,37.6,False,False
Income Quintile,4,Chicken leg quarters,38.2,False,False
Income Quintile,5,Chicken leg quarters,33.7,False,False
Income Quintile,Total,Chicken leg quarters,33.4,False,False
Income Quintile,1,Children's and babies' outerwear,106.5,False,False
Income Quintile,2,Children's and babies' outerwear,96.9,False,False
Income Quintile,3,Children's and babies' outerwear,84.0,False,False
Income Quintile,4,Children's and babies' outerwear,70.7,False,False
Income Quintile,5,Children's and babies' outerwear,41.7,False,False
Income Quintile,Total,Children's and babies' outerwear,80.0,False,False
Income Quintile,1,Children's pants,24.4,False,False
Income Quintile,2,Children's pants,22.3,False,False
Income Quintile,3,Children's pants,22.6,False,False
Income Quintile,4,Children's pants,16.6,False,False
Income Quintile,5,Children's pants,9.3,False,False
Income Quintile,Total,Children's pants,19.0,False,False
Income Quintile,1,Children's shoes,16.2,False,False
Income Quintile,2,Children's shoes,8.9,False,False
Income Quintile,3,Children's shoes,10.0,False,False
Income Quintile,4,Children's shoes,6.4,False,False
Income Quintile,5,Children's shoes,6.6,False,False
Income Quintile,Total,Children's shoes,9.6,False,False
Income Quintile,1,Children's sport shoes,30.6,False,False
Income Quintile,2,Children's sport shoes,21.6,False,False
Income Quintile,3,Children's sport shoes,18.6,False,False
Income Quintile,4,Children's sport shoes,15.6,False,False
Income Quintile,5,Children's sport shoes,13.5,False,False
Income Quintile,Total,Children's sport shoes,20.0,False,False
Income Quintile,1,Children's suit and coat,14.0,False,False
Income Quintile,Total,Children's suit and coat,6.6,False,False
Income Quintile,1,Children's track suit,9.1,False,False
Income Quintile,3,Children's track suit,8.7,False,False
Income Quintile,Total,Children's track suit,7.2,False,False
Income Quintile,1,Chocolate and chocolate-boxes,27.4,False,False
Income Quintile,2,Chocolate and chocolate-boxes,28.2,False,False
Income Quintile,3,Chocolate and chocolate-boxes,31.3,False,False
Income Quintile,4,Chocolate and chocolate-boxes,37.0,False,False
Income Quintile,5,Chocolate and chocolate-boxes,37.3,False,False
Income Quintile,Total,Chocolate and chocolate-boxes,32.2,False,False
Income Quintile,1,"Chocolate drink, cocoa, and coffee",11.1,False,False
Income Quintile,2,"Chocolate drink, cocoa, and coffee",7.9,False,False
Income Quintile,3,"Chocolate drink, cocoa, and coffee",8.2,False,False
Income Quintile,4,"Chocolate drink, cocoa, and coffee",7.3,False,False
Income Quintile,5,"Chocolate drink, cocoa, and coffee",6.1,False,False
Income Quintile,Total,"Chocolate drink, cocoa, and coffee",8.1,False,False
Income Quintile,1,Chocolate spread and cocoa spread,8.2,False,False
Income Quintile,2,Chocolate spread and cocoa spread,8.0,False,False
Income Quintile,3,Chocolate spread and cocoa spread,5.5,False,False
Income Quintile,4,Chocolate spread and cocoa spread,3.6,False,False
Income Quintile,5,Chocolate spread and cocoa spread,4.7,False,False
Income Quintile,Total,Chocolate spread and cocoa spread,6.0,False,False
Income Quintile,1,Cigarettes,168.9,False,False
Income Quintile,2,Cigarettes,132.5,False,False
Income Quintile,3,Cigarettes,117.5,False,False
Income Quintile,4,Cigarettes,74.4,False,False
Income Quintile,5,Cigarettes,46.9,False,False
Income Quintile,Total,Cigarettes,108.1,False,False
Income Quintile,1,"Cigarettes, tobacco, and accessories",182.6,False,False
Income Quintile,2,"Cigarettes, tobacco, and accessories",144.2,False,False
Income Quintile,3,"Cigarettes, tobacco, and accessories",126.8,False,False
Income Quintile,4,"Cigarettes, tobacco, and accessories",86.6,False,False
Income Quintile,5,"Cigarettes, tobacco, and accessories",52.0,False,False
Income Quintile,Total,"Cigarettes, tobacco, and accessories",118.4,False,False
Income Quintile,Total,Cigars and tobacco,7.9,False,False
Income Quintile,Total,Cleaning and laundry outside home,3.3,False,False
Income Quintile,4,Cleaning gloves ,3.2,False,False
Income Quintile,Total,Cleaning gloves ,2.6,False,False
Income Quintile,1,Clothing and footwear,539.3,False,False
Income Quintile,2,Clothing and footwear,572.4,False,False
Income Quintile,3,Clothing and footwear,541.4,False,False
Income Quintile,4,Clothing and footwear,552.3,False,False
Income Quintile,5,Clothing and footwear,690.4,False,False
Income Quintile,Total,Clothing and footwear,579.2,False,False
Income Quintile,1,Cocoa powder,2.1,False,False
Income Quintile,2,Cocoa powder,2.2,False,False
Income Quintile,3,Cocoa powder,2.2,False,False
Income Quintile,Total,Cocoa powder,1.9,False,False
Income Quintile,4,"Coconut milk, cream, and water ",1.9,False,False
Income Quintile,5,"Coconut milk, cream, and water ",2.5,False,False
Income Quintile,Total,"Coconut milk, cream, and water ",1.3,False,False
Income Quintile,5,Coffee capsules ,17.9,False,False
Income Quintile,Total,Coffee capsules ,9.2,False,False
Income Quintile,1,Comprehensive auto insurance,74.7,False,False
Income Quintile,2,Comprehensive auto insurance,137.4,False,False
Income Quintile,3,Comprehensive auto insurance,172.2,False,False
Income Quintile,4,Comprehensive auto insurance,224.1,False,False
Income Quintile,5,Comprehensive auto insurance,273.4,False,False
Income Quintile,Total,Comprehensive auto insurance,176.4,False,False
Income Quintile,1,Compulsory auto insurance,66.0,False,False
Income Quintile,2,Compulsory auto insurance,91.1,False,False
Income Quintile,3,Compulsory auto insurance,113.1,False,False
Income Quintile,4,Compulsory auto insurance,135.6,False,False
Income Quintile,5,Compulsory auto insurance,145.7,False,False
Income Quintile,Total,Compulsory auto insurance,110.3,False,False
Income Quintile,1,Compulsory payments – total,484.0,False,False
Income Quintile,2,Compulsory payments – total,1023.0,False,False
Income Quintile,3,Compulsory payments – total,2259.0,False,False
Income Quintile,4,Compulsory payments – total,4341.0,False,False
Income Quintile,5,Compulsory payments – total,10767.0,False,False
Income Quintile,Total,Compulsory payments – total,3776.0,False,False
Income Quintile,5,Computer,41.8,False,False
Income Quintile,Total,Computer,25.5,False,False
Income Quintile,4,Computer accessories,7.1,False,False
Income Quintile,Total,Computer accessories,5.5,False,False
Income Quintile,1,"Computer, internet and their products",30.1,False,False
Income Quintile,2,"Computer, internet and their products",24.3,False,False
Income Quintile,3,"Computer, internet and their products",44.4,False,False
Income Quintile,4,"Computer, internet and their products",48.8,False,False
Income Quintile,5,"Computer, internet and their products",71.1,False,False
Income Quintile,Total,"Computer, internet and their products",43.7,False,False
Income Quintile,1,Consumption expenditures – total,12495.0,False,False
Income Quintile,2,Consumption expenditures – total,14247.0,False,False
Income Quintile,3,Consumption expenditures – total,16492.0,False,False
Income Quintile,4,Consumption expenditures – total,19644.0,False,False
Income Quintile,5,Consumption expenditures – total,25115.0,False,False
Income Quintile,Total,Consumption expenditures – total,17600.0,False,False
Income Quintile,1,Consumption of housing services  ,1458.6,False,False
Income Quintile,2,Consumption of housing services  ,2122.5,False,False
Income Quintile,3,Consumption of housing services  ,2720.3,False,False
Income Quintile,4,Consumption of housing services  ,3640.7,False,False
Income Quintile,5,Consumption of housing services  ,4714.0,False,False
Income Quintile,Total,Consumption of housing services  ,2931.5,False,False
Income Quintile,1,Cookies and biscuits,38.3,False,False
Income Quintile,2,Cookies and biscuits,40.9,False,False
Income Quintile,3,Cookies and biscuits,35.8,False,False
Income Quintile,4,Cookies and biscuits,34.0,False,False
Income Quintile,5,Cookies and biscuits,33.4,False,False
Income Quintile,Total,Cookies and biscuits,36.5,False,False
Income Quintile,Total,Cooking and baking utensils,9.4,False,False
Income Quintile,1,Coriander ,2.4,False,False
Income Quintile,2,Coriander ,3.4,False,False
Income Quintile,3,Coriander ,3.3,False,False
Income Quintile,4,Coriander ,4.4,False,False
Income Quintile,5,Coriander ,4.0,False,False
